(100,0.6087)
(200,0.611575)
(300,0.6088333333333333)
(400,0.60846875)
(500,0.608924)
(600,0.6083305555555556)
(700,0.608234693877551)
(800,0.6085921875)
(900,0.6082111111111111)
(1000,0.608383)
(1100,0.6084586776859504)
(1200,0.6080354166666667)
(1300,0.6080988165680473)
(1400,0.6082525510204082)
(1500,0.6081613333333333)
(1600,0.607993359375)
(1700,0.6083678200692042)
(1800,0.6080601851851852)
(1900,0.6080096952908587)
(2000,0.60829375)
(2100,0.6080823129251701)
(2200,0.6079518595041322)
(2300,0.6081570888468809)
(2400,0.6081019097222222)
(2500,0.6079608)
(2600,0.6081087278106508)
(2700,0.6080426611796982)
(2800,0.6079876275510204)
(2900,0.6081092746730083)
(3000,0.6080416666666667)
(3100,0.6080440166493236)
(3200,0.60806005859375)
(3300,0.6079602387511478)
(3400,0.6079895328719723)
(3500,0.6080508571428571)
(3600,0.6080030092592592)
(3700,0.6080139517896275)
(3800,0.6080891274238227)
(3900,0.6079565417488494)
(4000,0.6079501875)
(4100,0.6080810826888756)
(4200,0.6079434807256235)
(4300,0.6080339102217415)
(4400,0.6080724690082645)
(4500,0.6079995555555555)
(4600,0.6079598771266541)
(4700,0.6080202354006338)
(4800,0.6080032552083333)
(4900,0.6079494793835901)
(5000,0.6080366)
(5100,0.6079811995386389)
(5200,0.6079986316568048)
(5300,0.6080243147027412)
(5400,0.6079781550068587)
(5500,0.607935173553719)
(5600,0.6080141262755102)
(5700,0.6079593413357957)
(5800,0.6079345719381688)
(5900,0.608036052858374)
(6000,0.6079535277777778)
(6100,0.6079464391292664)
(6200,0.6080345213319459)
(6300,0.6079742756361805)
(6400,0.6079797607421875)
(6500,0.6080216568047337)
(6600,0.6079883149678604)
(6700,0.6079292269993317)
(6800,0.6079944420415225)
(6900,0.6079742701113211)
(7000,0.6079651224489796)
(7100,0.6080042650267804)
(7200,0.6079660300925926)
(7300,0.6079656033026835)
(7400,0.6079783601168737)
(7500,0.6079790755555555)
(7600,0.607955938365651)
(7700,0.6079951256535672)
(7800,0.6079555391190007)
(7900,0.6079582598942477)
(8000,0.607993171875)
(8100,0.6079421277244322)
(8200,0.6079516805472933)
(8300,0.6080165336042967)
(8400,0.6079447137188209)
(8500,0.6079369273356401)
(8600,0.6080063142239048)
(8700,0.6079724005813185)
(8800,0.6079395532024794)
(8900,0.6079886756722636)
(9000,0.6079387037037037)
(9100,0.60793666223886)
(9200,0.6079855741965974)
(9300,0.6079464331136547)
(9400,0.6079542666364871)
(9500,0.6079874903047091)
(9600,0.6079468641493055)
(9700,0.6079572218089063)
(9800,0.60798845272803)
(9900,0.6079433017039078)
(10000,0.60794971)
