100	317	276	2783
100	239	219	3246
100	311	280	953
100	382	342	1201
100	256	230	2711
100	258	238	2841
100	218	201	2832
100	222	202	936
100	246	226	2989
100	315	283	959
100	152	142	1006
100	293	260	1088
100	246	224	842
100	225	208	713
100	236	217	3201
100	243	219	3269
100	337	303	3080
100	226	209	2729
100	130	124	1117
100	234	216	3157
100	243	218	831
100	252	227	1133
100	283	251	710
100	267	245	3185
100	320	287	3122
100	313	274	2846
100	250	227	1280
100	251	229	1126
100	263	238	821
100	314	282	3053
100	117	113	2924
100	309	272	3126
100	280	251	1121
100	323	288	2828
100	261	237	3044
100	249	226	711
100	294	266	788
100	278	253	1024
100	165	150	2742
100	283	251	2832
100	324	293	1099
100	285	256	1033
100	235	217	2771
100	266	241	2827
100	262	240	1059
100	307	278	3078
100	256	229	1269
100	292	259	2834
100	268	243	2873
100	248	227	3084
200	549	509	6247
200	568	530	1507
200	634	587	1400
200	608	561	6027
200	290	274	6562
200	687	632	5780
200	654	598	6442
200	622	577	6197
200	537	499	2518
200	570	528	6599
200	527	490	5718
200	624	573	6398
200	591	544	1951
200	572	524	2026
200	606	553	1846
200	557	513	2172
200	305	285	2408
200	617	570	5949
200	471	436	1616
200	623	564	6267
200	491	455	1681
200	472	439	1598
200	576	533	5698
200	505	467	6302
200	628	576	5567
200	577	534	5515
200	615	562	5688
200	466	433	5761
200	553	512	1486
200	617	571	2466
200	579	532	6277
200	285	272	2283
200	551	515	2262
200	590	544	6452
200	269	257	6400
200	595	548	1697
200	547	505	2087
200	612	566	6324
200	651	599	6233
200	567	522	2239
200	524	486	1841
200	623	576	6129
200	586	533	2358
200	699	635	6038
200	299	281	2088
200	473	442	6136
200	528	490	2496
200	578	535	1929
200	554	512	6560
200	628	574	5991
300	1008	940	9871
300	809	755	2115
300	1028	944	8803
300	821	762	8503
300	876	813	9692
300	943	880	9433
300	840	785	8540
300	475	451	3821
300	871	811	9664
300	921	852	3413
300	836	784	2695
300	879	811	9281
300	938	877	2493
300	765	716	9473
300	403	383	2502
300	1059	972	2678
300	847	791	3137
300	922	854	2192
300	954	885	2869
300	794	746	3018
300	417	397	2270
300	993	912	9053
300	984	909	8804
300	851	796	2158
300	969	902	2679
300	746	701	9579
300	795	747	3264
300	837	777	9282
300	887	831	2555
300	847	791	9723
300	400	384	3523
300	1023	952	8726
300	873	808	9340
300	422	401	8574
300	776	730	9315
300	911	849	3846
300	789	740	8978
300	426	407	9548
300	888	824	8620
300	982	909	3113
300	438	417	3655
300	853	801	2765
300	870	814	8500
300	839	786	3248
300	568	530	2525
300	863	806	8869
